Rk,Player,PTS,Date,Age,Team,...7,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM,Pos.
691,LeBron James,27,2/27/11,26-059,MIA,NA,NYK,L 86-91,1,39,10,20,0.5,9,15,0.6,1,5,0.2,6,8,0.75,0.574,0,7,7,5,3,1,5,2,19.7,8.2,F-G
692,LeBron James,27,3/12/11,26-072,MIA,NA,MEM,W 118-85,1,32,10,16,0.625,8,12,0.667,2,4,0.5,5,6,0.833,0.724,1,4,5,5,1,2,3,1,23.8,9.5,F-G
693,LeBron James,27,3/29/11,26-089,MIA,@,CLE,L 90-102,1,43,10,21,0.476,9,16,0.563,1,5,0.2,6,10,0.6,0.531,0,10,10,12,0,0,3,3,21.9,5.7,F-G
694,LeBron James,27,4/1/11,26-092,MIA,@,MIN,W 111-92,1,43,11,20,0.55,11,19,0.579,0,1,0,5,7,0.714,0.585,2,4,6,10,3,1,3,2,26.1,10.1,F-G
695,LeBron James,27,4/10/11,26-101,MIA,NA,BOS,W 100-77,1,37,11,19,0.579,11,17,0.647,0,2,0,5,9,0.556,0.588,0,5,5,7,4,1,4,1,23.2,15.4,F-G
696,LeBron James,27,3/10/12,27-071,MIA,NA,IND,W 93-91 (OT),1,47,8,19,0.421,6,16,0.375,2,3,0.667,9,15,0.6,0.527,1,7,8,4,4,1,4,1,20.4,9.9,F-G
697,LeBron James,27,4/19/12,27-111,MIA,NA,CHI,W 83-72,1,35,8,18,0.444,7,16,0.438,1,2,0.5,10,12,0.833,0.58,0,11,11,6,0,1,1,3,22.8,17.8,F-G
698,LeBron James,27,11/15/12,27-321,MIA,@,DEN,W 98-93,1,42,11,23,0.478,11,22,0.5,0,1,0,5,6,0.833,0.527,1,6,7,12,1,3,4,0,24.9,10.5,F-G
699,LeBron James,27,12/10/12,27-346,MIA,NA,ATL,W 101-92,1,40,10,16,0.625,9,14,0.643,1,2,0.5,6,7,0.857,0.708,1,6,7,6,2,0,3,0,25.1,9.3,F-G
700,LeBron James,27,12/26/12,27-362,MIA,@,CHA,W 105-92,1,39,9,19,0.474,7,15,0.467,2,4,0.5,7,8,0.875,0.599,2,10,12,8,4,2,3,1,28.9,17.2,F-G
701,LeBron James,27,3/13/13,28-073,MIA,@,PHI,W 98-94,1,37,8,19,0.421,7,15,0.467,1,4,0.25,10,12,0.833,0.556,2,5,7,8,2,1,4,1,22.9,9.7,F-G
702,LeBron James,27,4/6/13,28-097,MIA,NA,PHI,W 106-87,1,30,12,17,0.706,11,15,0.733,1,2,0.5,2,2,1,0.755,0,4,4,5,1,0,1,1,24.2,17.6,F-G
703,LeBron James,27,11/29/13,28-334,MIA,@,TOR,W 90-83,1,36,10,17,0.588,7,12,0.583,3,5,0.6,4,6,0.667,0.687,1,5,6,3,1,1,3,2,20.5,11.6,F-G
704,LeBron James,27,1/23/14,29-024,MIA,NA,LAL,W 109-102,1,37,9,15,0.6,7,11,0.636,2,4,0.5,7,13,0.538,0.652,2,11,13,6,1,0,5,1,22.2,6,F-G
705,LeBron James,27,4/12/14,29-103,MIA,@,ATL,L 85-98,1,37,10,22,0.455,7,15,0.467,3,7,0.429,4,8,0.5,0.529,3,5,8,5,0,1,3,2,18,7.6,F-G
706,LeBron James,27,12/15/14,29-350,CLE,NA,CHO,W 97-88,1,40,11,19,0.579,9,16,0.563,2,3,0.667,3,4,0.75,0.65,0,7,7,14,1,3,5,2,26.9,14.2,F-G
707,LeBron James,27,3/3/15,30-063,CLE,NA,BOS,W 110-79,1,26,12,23,0.522,12,22,0.545,0,1,0,3,3,1,0.555,1,2,3,5,3,1,1,0,23.2,18.1,F-G
708,LeBron James,27,3/10/15,30-070,CLE,@,DAL,W 127-94,1,29,10,14,0.714,6,8,0.75,4,6,0.667,3,5,0.6,0.833,0,7,7,8,1,1,2,3,26.6,22.1,F-G
709,LeBron James,27,11/19/15,30-324,CLE,NA,MIL,W 115-100,1,35,9,13,0.692,8,12,0.667,1,1,1,8,9,0.889,0.796,3,6,9,6,0,0,4,3,24,9,F-G
710,LeBron James,27,1/12/16,31-013,CLE,@,DAL,W 110-107 (OT),1,42,9,17,0.529,6,11,0.545,3,6,0.5,6,8,0.75,0.658,3,7,10,7,2,0,4,2,24.2,9.5,F-G
711,LeBron James,27,2/6/16,31-038,CLE,NA,NOP,W 99-84,1,37,11,20,0.55,9,15,0.6,2,5,0.4,3,3,1,0.633,0,3,3,8,1,0,2,2,22.1,12.3,F-G
712,LeBron James,27,3/13/16,31-074,CLE,@,LAC,W 114-90,1,31,9,15,0.6,6,11,0.545,3,4,0.75,6,7,0.857,0.747,1,5,6,5,1,0,2,2,23.6,16,F-G
713,LeBron James,27,3/26/16,31-087,CLE,@,NYK,W 107-93,1,36,10,21,0.476,8,18,0.444,2,3,0.667,5,6,0.833,0.571,3,8,11,11,1,2,2,4,26.9,17.5,F-G
714,LeBron James,27,11/11/16,31-317,CLE,@,WAS,W 105-94,1,38,9,18,0.5,6,14,0.429,3,4,0.75,6,9,0.667,0.615,0,10,10,5,2,2,6,1,20.3,8.7,F-G
715,LeBron James,27,12/2/16,31-338,CLE,@,CHI,L 105-111,1,45,13,22,0.591,12,19,0.632,1,3,0.333,0,0,NA,0.614,0,5,5,13,0,0,8,2,18.6,0.4,F-G
716,LeBron James,27,12/9/16,31-345,CLE,NA,MIA,W 114-84,1,37,12,22,0.545,11,19,0.579,1,3,0.333,2,4,0.5,0.568,2,6,8,8,3,0,3,2,23.6,8.8,F-G
717,LeBron James,27,2/1/17,32-033,CLE,NA,MIN,W 125-97,1,34,11,14,0.786,10,12,0.833,1,2,0.5,4,7,0.571,0.79,0,8,8,12,2,1,2,1,31.5,17.5,F-G
718,LeBron James,27,2/11/17,32-043,CLE,NA,DEN,W 125-109,1,33,11,16,0.688,10,15,0.667,1,1,1,4,4,1,0.76,0,5,5,12,2,0,6,1,25.7,10.6,F-G
719,LeBron James,27,4/7/17,32-098,CLE,NA,ATL,L 100-114,1,41,12,15,0.8,11,13,0.846,1,2,0.5,2,6,0.333,0.765,1,7,8,7,2,0,5,0,24.4,6.8,F-G
720,LeBron James,27,11/24/17,32-329,CLE,NA,CHO,W 100-99,1,40,10,20,0.5,7,12,0.583,3,8,0.375,4,7,0.571,0.585,1,15,16,13,0,3,3,2,28.4,15.5,F-G
721,LeBron James,27,1/12/18,33-013,CLE,@,IND,L 95-97,1,40,11,25,0.44,9,16,0.563,2,9,0.222,3,4,0.75,0.504,2,6,8,11,3,1,5,2,22.3,9.7,F-G
722,LeBron James,27,3/23/18,33-083,CLE,NA,PHO,W 120-95,1,29,11,16,0.688,10,12,0.833,1,4,0.25,4,6,0.667,0.724,0,6,6,9,1,1,4,3,24,14.8,F-G
723,LeBron James,27,3/30/18,33-090,CLE,NA,NOP,W 107-102,1,42,12,24,0.5,12,20,0.6,0,4,0,3,3,1,0.533,1,8,9,11,1,0,1,0,25.8,9.5,F-G
724,LeBron James,27,4/3/18,33-094,CLE,NA,TOR,W 112-106,1,37,8,14,0.571,5,8,0.625,3,6,0.5,8,11,0.727,0.717,0,10,10,6,0,0,5,2,20.6,3.5,F-G
725,LeBron James,27,2/23/19,34-055,LAL,@,NOP,L 115-128,1,39,11,17,0.647,8,11,0.727,3,6,0.5,2,6,0.333,0.687,0,7,7,12,4,1,4,0,29.1,12.4,F-G
726,LeBron James,27,3/2/19,34-062,LAL,@,PHO,L 109-118,1,41,10,21,0.476,6,12,0.5,4,9,0.444,3,7,0.429,0.561,0,9,9,16,0,0,3,2,24.8,10.8,F-G
727,LeBron James,27,3/4/19,34-064,LAL,NA,LAC,L 105-113,1,42,9,18,0.5,8,12,0.667,1,6,0.167,8,12,0.667,0.58,0,8,8,6,1,1,2,3,21.5,6.8,F-G
728,LeBron James,27,3/29/19,34-089,LAL,NA,CHO,W 129-115,1,32,11,19,0.579,7,12,0.583,4,7,0.571,1,2,0.5,0.679,0,3,3,9,0,0,6,1,18.5,2,F-G
729,LeBron James,27,1/23/20,35-024,LAL,@,BRK,W 128-113,1,34,11,19,0.579,8,13,0.615,3,6,0.5,2,2,1,0.679,2,9,11,10,1,1,5,0,25.9,11,F-G
730,LeBron James,27,1/7/21,36-008,LAL,NA,SAS,L 109-118,1,35,8,15,0.533,4,8,0.5,4,7,0.571,7,11,0.636,0.68,0,6,6,12,0,0,4,3,23.1,12.2,F-G
731,LeBron James,27,2/4/21,36-036,LAL,NA,DEN,W 114-93,1,35,12,19,0.632,10,14,0.714,2,5,0.4,1,2,0.5,0.679,0,10,10,10,0,1,2,1,26.4,14.6,F-G
732,LeBron James,27,2/8/22,37-040,LAL,NA,MIL,L 116-131,1,35,11,19,0.579,8,12,0.667,3,7,0.429,2,4,0.5,0.65,0,5,5,8,0,0,4,4,18.8,2.9,F-G
733,LeBron James,27,11/6/22,37-311,LAL,NA,CLE,L 100-114,1,34,13,23,0.565,12,19,0.632,1,4,0.25,0,3,0,0.555,2,5,7,4,0,0,1,0,19.6,7.8,F-G
734,LeBron James,27,12/28/22,37-363,LAL,@,MIA,L 98-112,1,34,10,18,0.556,8,13,0.615,2,5,0.4,5,5,1,0.668,0,9,9,6,0,0,6,4,17.7,2.7,F-G
735,LeBron James,27,2/4/23,38-036,LAL,@,NOP,L 126-131,1,40,10,22,0.455,9,15,0.6,1,7,0.143,6,9,0.667,0.52,0,9,9,6,0,0,2,2,18.5,-2.2,F-G
736,LeBron James,26,3/14/04,19-075,CLE,NA,IND,W 107-104,1,44,12,22,0.545,12,20,0.6,0,2,0,2,4,0.5,0.547,0,3,3,4,3,1,4,3,16.8,-2.2,F-G
737,LeBron James,26,11/27/04,19-333,CLE,NA,CHI,W 96-74,1,32,11,17,0.647,10,15,0.667,1,2,0.5,3,4,0.75,0.693,1,6,7,7,1,0,2,0,24.5,18.7,F-G
738,LeBron James,26,12/21/04,19-357,CLE,NA,MIN,W 107-97,1,43,10,18,0.556,10,17,0.588,0,1,0,6,8,0.75,0.604,0,6,6,12,1,0,2,2,25,6.2,F-G
739,LeBron James,26,1/3/05,20-004,CLE,@,CHA,W 94-83,1,40,11,19,0.579,11,16,0.688,0,3,0,4,6,0.667,0.601,2,6,8,6,2,0,1,3,23.5,11.8,F-G
740,LeBron James,26,2/17/05,20-049,CLE,@,MIN,L 88-94,1,41,10,19,0.526,9,17,0.529,1,2,0.5,5,6,0.833,0.601,2,5,7,8,1,0,2,0,23.8,12.3,F-G
741,LeBron James,26,3/31/05,20-091,CLE,@,CHI,L 90-102 (OT),1,53,10,28,0.357,9,24,0.375,1,4,0.25,5,11,0.455,0.396,4,2,6,7,4,2,3,5,16.7,5.7,F-G
742,LeBron James,26,11/13/05,20-318,CLE,@,ORL,W 108-100 (OT),1,49,9,20,0.45,8,16,0.5,1,4,0.25,7,11,0.636,0.523,0,5,5,3,0,1,2,2,15.5,-2.5,F-G
743,LeBron James,26,12/15/05,20-350,CLE,NA,DEN,W 94-85,1,45,11,18,0.611,10,14,0.714,1,4,0.25,3,6,0.5,0.63,0,4,4,9,1,0,3,3,20.9,6.4,F-G
744,LeBron James,26,2/1/06,21-033,CLE,NA,NJN,W 91-85,1,44,8,21,0.381,8,19,0.421,0,2,0,10,12,0.833,0.495,0,11,11,10,1,1,4,2,20.9,5.5,F-G
745,LeBron James,26,2/21/06,21-053,CLE,NA,ORL,W 105-92,1,43,10,24,0.417,9,19,0.474,1,5,0.2,5,7,0.714,0.48,0,2,2,9,1,2,2,0,19.7,4.7,F-G
746,LeBron James,26,2/27/06,21-059,CLE,NA,DET,L 72-84,1,47,9,22,0.409,9,19,0.474,0,3,0,8,10,0.8,0.492,1,3,4,6,0,1,5,0,14.9,4.2,F-G
747,LeBron James,26,11/1/06,21-306,CLE,NA,WAS,W 97-94,1,41,11,24,0.458,9,20,0.45,2,4,0.5,2,6,0.333,0.488,3,7,10,5,0,2,5,2,15.3,2.9,F-G
748,LeBron James,26,12/6/06,21-341,CLE,NA,TOR,W 95-91,1,41,11,18,0.611,10,16,0.625,1,2,0.5,3,5,0.6,0.644,1,5,6,10,1,0,4,1,22.8,11.3,F-G
749,LeBron James,26,12/21/06,21-356,CLE,NA,DET,L 71-87,1,43,9,20,0.45,9,19,0.474,0,1,0,8,8,1,0.553,2,8,10,5,2,0,1,1,23.5,14.6,F-G
750,LeBron James,26,3/11/07,22-071,CLE,NA,IND,W 99-88,1,39,10,22,0.455,8,16,0.5,2,6,0.333,4,5,0.8,0.537,3,4,7,6,3,1,2,2,22.6,10.5,F-G
751,LeBron James,26,3/27/07,22-087,CLE,@,IND,W 105-94,1,40,8,18,0.444,8,15,0.533,0,3,0,10,14,0.714,0.538,1,6,7,6,2,0,3,4,19.1,3.9,F-G
752,LeBron James,26,11/9/07,22-314,CLE,@,SAC,W 93-91,1,44,10,19,0.526,10,17,0.588,0,2,0,6,8,0.75,0.577,0,4,4,4,1,1,1,1,20.2,7.9,F-G
753,LeBron James,26,2/8/08,23-040,CLE,@,ATL,W 100-95,1,44,11,24,0.458,11,21,0.524,0,3,0,4,4,1,0.505,4,7,11,7,2,1,1,2,24.3,6.1,F-G
754,LeBron James,26,2/19/08,23-051,CLE,NA,HOU,L 85-93,1,42,7,18,0.389,3,11,0.273,4,7,0.571,8,11,0.727,0.569,2,11,13,11,2,0,5,2,23.6,13.3,F-G
755,LeBron James,26,2/27/08,23-059,CLE,@,BOS,L 87-92,1,39,7,24,0.292,6,18,0.333,1,6,0.167,11,15,0.733,0.425,4,4,8,4,0,0,3,2,13.4,3.1,F-G
756,LeBron James,26,3/30/08,23-091,CLE,NA,PHI,W 91-88,1,42,11,18,0.611,10,16,0.625,1,2,0.5,3,3,1,0.673,3,6,9,9,3,1,1,4,29.1,16.6,F-G
757,LeBron James,26,11/25/08,23-331,CLE,@,NYK,W 119-101,1,30,7,14,0.5,4,7,0.571,3,7,0.429,9,11,0.818,0.69,0,4,4,1,1,1,1,0,20.8,9.2,F-G
758,LeBron James,26,2/11/09,24-043,CLE,NA,PHO,W 109-92,1,33,9,18,0.5,8,13,0.615,1,5,0.2,7,8,0.875,0.604,2,4,6,6,2,1,3,1,22.7,11.4,F-G
759,LeBron James,26,3/1/09,24-061,CLE,@,ATL,W 88-87,1,44,8,20,0.4,6,13,0.462,2,7,0.286,8,14,0.571,0.497,1,5,6,11,1,2,0,3,23.9,15.4,F-G
760,LeBron James,26,3/19/09,24-079,CLE,NA,POR,W 97-92 (OT),1,47,10,22,0.455,10,19,0.526,0,3,0,6,11,0.545,0.484,0,11,11,10,1,2,0,4,23.7,15.1,F-G
761,LeBron James,26,4/3/09,24-094,CLE,@,ORL,L 87-116,1,32,7,20,0.35,5,15,0.333,2,5,0.4,10,10,1,0.533,1,8,9,5,1,0,2,1,20,12.3,F-G
762,LeBron James,26,12/18/09,24-353,CLE,NA,MIL,W 85-82,1,38,6,13,0.462,4,9,0.444,2,4,0.5,12,14,0.857,0.678,1,9,10,8,0,3,6,1,23.2,13.2,F-G
763,LeBron James,26,12/25/09,24-360,CLE,@,LAL,W 102-87,1,41,9,19,0.474,7,12,0.583,2,7,0.286,6,11,0.545,0.545,0,4,4,9,2,1,7,3,16.3,2.5,F-G
764,LeBron James,26,3/3/10,25-063,CLE,@,NJN,W 111-92,1,41,10,18,0.556,10,14,0.714,0,4,0,6,7,0.857,0.617,2,5,7,14,3,1,3,1,30,14.3,F-G
765,LeBron James,26,1/7/11,26-008,MIA,@,MIL,W 101-95 (OT),1,45,8,23,0.348,7,19,0.368,1,4,0.25,9,11,0.818,0.467,1,9,10,5,6,1,5,2,20.1,8.1,F-G
766,LeBron James,26,3/4/11,26-064,MIA,@,SAS,L 95-125,1,36,11,19,0.579,10,16,0.625,1,3,0.333,3,7,0.429,0.589,3,5,8,7,1,0,4,2,20.2,5.7,F-G
767,LeBron James,26,3/6/11,26-066,MIA,NA,CHI,L 86-87,1,42,10,18,0.556,9,16,0.563,1,2,0.5,5,6,0.833,0.63,3,5,8,6,2,0,2,2,24,13.8,F-G
768,LeBron James,26,12/27/11,26-362,MIA,NA,BOS,W 115-107,1,36,9,14,0.643,9,14,0.643,0,0,NA,8,9,0.889,0.724,1,5,6,5,2,1,3,3,23.6,6.7,F-G
769,LeBron James,26,1/10/12,27-011,MIA,@,GSW,L 106-111 (OT),1,43,10,19,0.526,10,17,0.588,0,2,0,6,8,0.75,0.577,1,10,11,7,2,0,5,1,21.1,5.9,F-G
770,LeBron James,26,3/30/12,27-091,MIA,@,TOR,W 113-101,1,39,11,18,0.611,11,16,0.688,0,2,0,4,6,0.667,0.63,1,3,4,9,1,0,3,0,22.9,4.6,F-G
771,LeBron James,26,4/8/12,27-100,MIA,NA,DET,W 98-75,1,32,12,22,0.545,11,19,0.579,1,3,0.333,1,5,0.2,0.537,3,1,4,2,0,1,1,1,16.9,9,F-G
772,LeBron James,26,10/30/12,27-305,MIA,NA,BOS,W 120-107,1,29,10,16,0.625,8,12,0.667,2,4,0.5,4,5,0.8,0.714,1,9,10,3,2,0,0,2,25.1,15.1,F-G
773,LeBron James,26,12/4/12,27-340,MIA,@,WAS,L 101-105,1,43,12,24,0.5,11,20,0.55,1,4,0.25,1,3,0.333,0.513,2,11,13,11,3,2,3,1,26.6,12.8,F-G
774,LeBron James,26,12/29/12,27-365,MIA,@,MIL,L 85-104,1,36,11,20,0.55,10,18,0.556,1,2,0.5,3,5,0.6,0.586,1,5,6,7,2,1,6,2,18.6,9.9,F-G
775,LeBron James,26,2/21/13,28-053,MIA,@,CHI,W 86-67,1,34,11,15,0.733,10,11,0.909,1,4,0.25,3,3,1,0.797,1,11,12,7,2,0,4,2,26,19.6,F-G
776,LeBron James,26,3/6/13,28-066,MIA,NA,ORL,W 97-96,1,38,7,14,0.5,6,8,0.75,1,6,0.167,11,12,0.917,0.674,0,3,3,2,0,1,2,0,19.6,4,F-G
777,LeBron James,26,11/1/13,28-306,MIA,@,BRK,L 100-101,1,42,11,19,0.579,10,17,0.588,1,2,0.5,3,5,0.6,0.613,1,6,7,6,2,1,5,2,19.9,4.4,F-G
778,LeBron James,26,12/1/13,28-336,MIA,NA,CHA,W 99-98,1,38,8,13,0.615,7,10,0.7,1,3,0.333,9,10,0.9,0.747,0,5,5,4,1,1,3,0,22.7,7.3,F-G
779,LeBron James,26,12/30/13,29-000,MIA,@,DEN,W 97-94,1,40,8,15,0.533,3,6,0.5,5,9,0.556,5,8,0.625,0.702,1,5,6,10,0,1,4,0,23.4,12.5,F-G
780,LeBron James,26,1/2/14,29-003,MIA,NA,GSW,L 114-123,1,40,10,16,0.625,9,12,0.75,1,4,0.25,5,8,0.625,0.666,0,5,5,5,0,1,8,0,15.3,-2.3,F-G
781,LeBron James,26,12/2/14,29-337,CLE,NA,MIL,W 111-108,1,41,6,15,0.4,6,11,0.545,0,4,0,14,21,0.667,0.536,1,4,5,10,0,0,7,1,16.6,-2.6,F-G
782,LeBron James,26,1/19/15,30-020,CLE,NA,CHI,W 108-94,1,36,12,23,0.522,12,20,0.6,0,3,0,2,3,0.667,0.535,1,4,5,4,0,0,6,4,11.4,-3.2,F-G
783,LeBron James,26,1/21/15,30-022,CLE,NA,UTA,W 106-92,1,36,8,16,0.5,8,14,0.571,0,2,0,10,14,0.714,0.587,2,5,7,9,4,0,7,0,22.6,8.1,F-G
784,LeBron James,26,3/16/15,30-076,CLE,@,MIA,L 92-106,1,35,8,19,0.421,4,11,0.364,4,8,0.5,6,8,0.75,0.577,1,1,2,4,0,0,4,2,14.1,2.6,F-G
785,LeBron James,26,11/28/15,30-333,CLE,NA,BRK,W 90-88,1,36,10,22,0.455,9,16,0.563,1,6,0.167,5,6,0.833,0.528,2,7,9,5,1,0,2,0,20.2,8.5,F-G
786,LeBron James,26,1/23/16,31-024,CLE,NA,CHI,L 83-96,1,40,11,27,0.407,11,22,0.5,0,5,0,4,7,0.571,0.432,3,10,13,9,2,1,1,3,22.2,15.8,F-G
787,LeBron James,26,3/19/16,31-080,CLE,@,MIA,L 101-122,1,27,13,20,0.65,13,17,0.765,0,3,0,0,0,NA,0.65,0,3,3,3,1,0,3,1,17.8,4.3,F-G
788,LeBron James,26,3/23/16,31-084,CLE,NA,MIL,W 113-104,1,37,9,22,0.409,8,18,0.444,1,4,0.25,7,10,0.7,0.492,5,1,6,8,2,1,2,0,23.1,7.8,F-G
789,LeBron James,26,11/27/16,31-333,CLE,@,PHI,W 112-108,1,42,9,19,0.474,8,15,0.533,1,4,0.25,7,9,0.778,0.566,2,8,10,13,1,0,5,0,24.4,7.6,F-G
790,LeBron James,26,12/17/16,31-353,CLE,NA,LAL,W 119-108,1,39,9,18,0.5,7,13,0.538,2,5,0.4,6,11,0.545,0.569,1,6,7,9,2,2,2,1,24.8,7.6,F-G
791,LeBron James,26,1/2/17,32-003,CLE,NA,NOP,W 90-82,1,39,9,21,0.429,9,17,0.529,0,4,0,8,10,0.8,0.512,2,5,7,6,2,1,4,1,19.5,8.4,F-G
792,LeBron James,26,1/23/17,32-024,CLE,@,NOP,L 122-124,1,44,11,21,0.524,10,17,0.588,1,4,0.25,3,4,0.75,0.571,2,8,10,12,2,0,6,2,22.7,2.3,F-G
793,LeBron James,26,3/30/17,32-090,CLE,@,CHI,L 93-99,1,39,11,20,0.55,10,13,0.769,1,7,0.143,3,7,0.429,0.563,1,9,10,8,1,1,4,0,21.5,8.7,F-G
794,LeBron James,26,11/5/17,32-310,CLE,NA,ATL,L 115-117,1,41,10,17,0.588,10,14,0.714,0,3,0,6,6,1,0.662,2,3,5,13,1,2,6,4,24.3,7.5,F-G
795,LeBron James,26,1/11/18,33-012,CLE,@,TOR,L 99-133,1,32,9,16,0.563,9,15,0.6,0,1,0,8,10,0.8,0.637,0,3,3,1,1,2,2,1,19.2,6.6,F-G
796,LeBron James,26,1/26/18,33-027,CLE,NA,IND,W 115-108,1,40,11,17,0.647,11,15,0.733,0,2,0,4,5,0.8,0.677,0,10,10,11,4,1,11,0,22.5,2.6,F-G
797,LeBron James,26,4/9/18,33-100,CLE,@,NYK,W 123-109,1,39,7,16,0.438,4,10,0.4,3,6,0.5,9,10,0.9,0.637,0,6,6,11,1,0,4,2,22.9,4.8,F-G
798,LeBron James,26,10/18/18,33-292,LAL,@,POR,L 119-128,1,37,9,16,0.563,9,12,0.75,0,4,0,8,9,0.889,0.651,2,10,12,6,1,0,6,3,20.4,1.3,F-G
799,LeBron James,26,11/11/18,33-316,LAL,NA,ATL,W 107-106,1,34,10,20,0.5,7,11,0.636,3,9,0.333,3,7,0.429,0.563,3,4,7,4,2,0,4,1,18.1,4.8,F-G
800,LeBron James,26,12/30/20,36-000,LAL,@,SAS,W 121-107,1,35,11,23,0.478,10,20,0.5,1,3,0.333,3,5,0.6,0.516,0,5,5,8,1,1,2,1,19.9,3.3,F-G
801,LeBron James,26,1/1/21,36-002,LAL,@,SAS,W 109-103,1,36,8,22,0.364,5,15,0.333,3,7,0.429,7,7,1,0.518,1,10,11,10,2,0,4,0,22.5,10,F-G
802,LeBron James,26,1/5/21,36-006,LAL,@,MEM,W 94-92,1,34,11,20,0.55,10,16,0.625,1,4,0.25,3,3,1,0.61,2,10,12,7,1,1,6,0,21.4,10.1,F-G
803,LeBron James,26,1/12/21,36-013,LAL,@,HOU,W 117-100,1,29,10,20,0.5,6,11,0.545,4,9,0.444,2,4,0.5,0.597,1,7,8,5,0,1,5,0,17.2,3.3,F-G
804,LeBron James,26,1/13/21,36-014,LAL,@,OKC,W 128-99,1,27,9,20,0.45,4,12,0.333,5,8,0.625,3,4,0.75,0.597,0,6,6,7,0,0,2,2,19.1,9.2,F-G
805,LeBron James,26,10/29/21,36-303,LAL,NA,CLE,W 113-101,1,38,10,22,0.455,9,12,0.75,1,10,0.1,5,5,1,0.537,1,2,3,8,3,1,7,1,17.8,1.2,F-G
806,LeBron James,26,1/2/22,37-003,LAL,NA,MIN,W 108-103,1,39,7,15,0.467,4,6,0.667,3,9,0.333,9,12,0.75,0.641,0,7,7,5,3,1,1,2,24.6,8.8,F-G
807,LeBron James,26,2/12/22,37-044,LAL,@,GSW,L 115-117,1,38,9,27,0.333,6,17,0.353,3,10,0.3,5,9,0.556,0.42,3,12,15,8,0,0,4,3,15.2,-3.2,F-G
808,LeBron James,26,3/1/22,37-061,LAL,NA,DAL,L 104-109,1,38,10,18,0.556,7,11,0.636,3,7,0.429,3,5,0.6,0.644,0,12,12,5,1,0,4,2,19.9,3.9,F-G
809,LeBron James,26,3/3/22,37-063,LAL,@,LAC,L 111-132,1,37,8,18,0.444,6,9,0.667,2,9,0.222,8,10,0.8,0.58,1,7,8,4,0,1,4,2,17.3,-3.6,F-G
810,LeBron James,26,10/30/22,37-304,LAL,NA,DEN,W 121-110,1,35,10,22,0.455,8,17,0.471,2,5,0.4,4,5,0.8,0.537,0,6,6,8,1,0,3,1,19.2,5.3,F-G
811,LeBron James,26,2/2/23,38-034,LAL,@,IND,W 112-111,1,33,11,19,0.579,9,14,0.643,2,5,0.4,2,2,1,0.654,2,5,7,7,0,0,3,1,21.5,7.9,F-G
812,LeBron James,25,10/29/03,18-303,CLE,@,SAC,L 92-106,1,43,12,20,0.6,12,18,0.667,0,2,0,1,3,0.333,0.586,2,4,6,9,4,0,2,3,24.7,10.8,F-G
813,LeBron James,25,3/23/04,19-084,CLE,NA,PHO,L 86-103,1,41,8,21,0.381,6,16,0.375,2,5,0.4,7,9,0.778,0.501,1,1,2,6,3,1,5,0,16.6,8.2,F-G
814,LeBron James,25,11/9/04,19-315,CLE,@,ATL,W 93-79,1,48,8,17,0.471,7,13,0.538,1,4,0.25,8,12,0.667,0.561,1,9,10,4,4,2,3,2,22.5,8.7,F-G
815,LeBron James,25,11/20/04,19-326,CLE,NA,CHA,W 100-84,1,38,11,20,0.55,11,18,0.611,0,2,0,3,4,0.75,0.574,5,3,8,2,3,1,7,0,17.5,3.6,F-G
816,LeBron James,25,12/15/04,19-351,CLE,NA,POR,W 112-88,1,37,10,18,0.556,8,15,0.533,2,3,0.667,3,3,1,0.647,2,9,11,7,3,2,3,1,26.4,12.1,F-G
817,LeBron James,25,2/13/05,20-045,CLE,NA,LAL,W 103-89,1,46,8,20,0.4,8,20,0.4,0,0,NA,9,10,0.9,0.512,2,6,8,9,3,1,3,3,22.8,5.7,F-G
818,LeBron James,25,12/20/05,20-355,CLE,NA,UTA,W 110-85,1,29,8,12,0.667,7,11,0.636,1,1,1,8,9,0.889,0.783,2,4,6,4,3,2,5,1,23.8,14.9,F-G
819,LeBron James,25,2/24/06,21-056,CLE,NA,WAS,L 94-102,1,48,7,21,0.333,4,13,0.308,3,8,0.375,8,19,0.421,0.426,0,7,7,9,1,0,4,2,13.3,-1.8,F-G
820,LeBron James,25,3/10/06,21-070,CLE,@,ORL,L 73-102,1,39,9,22,0.409,7,16,0.438,2,6,0.333,5,6,0.833,0.507,2,5,7,2,2,1,5,0,14.8,7.8,F-G
821,LeBron James,25,11/25/06,21-330,CLE,NA,PHI,W 108-95,1,41,10,20,0.5,9,16,0.563,1,4,0.25,4,7,0.571,0.542,0,4,4,11,0,1,7,4,14.8,1.7,F-G
822,LeBron James,25,4/6/07,22-097,CLE,@,WAS,W 99-94,1,44,7,23,0.304,7,20,0.35,0,3,0,11,14,0.786,0.429,0,6,6,5,1,1,2,3,14.3,-2.7,F-G
823,LeBron James,25,12/23/07,22-358,CLE,NA,GSW,L 96-105,1,41,8,20,0.4,8,18,0.444,0,2,0,9,13,0.692,0.486,2,3,5,8,1,1,3,2,18.4,4.2,F-G
