Rk,Player,PTS,Date,Age,Team,...7,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM,Pos.
45,LeBron James,42,3/12/08,23-073,CLE,@,NJN,L 99-104,1,46,12,23,0.522,10,16,0.625,2,7,0.286,16,23,0.696,0.634,3,8,11,7,1,2,6,5,31.7,10,F-G
46,LeBron James,42,3/2/09,24-062,CLE,@,MIA,W 107-100,1,44,13,21,0.619,7,14,0.5,6,7,0.857,10,10,1,0.827,1,7,8,4,1,1,6,4,32.2,12.6,F-G
47,LeBron James,42,4/4/10,25-095,CLE,@,BOS,L 113-117,1,45,14,31,0.452,14,22,0.636,0,9,0,14,22,0.636,0.516,1,6,7,9,1,1,3,0,30.2,6.6,F-G
48,LeBron James,42,2/18/14,29-050,MIA,@,DAL,W 117-106,1,38,16,23,0.696,12,15,0.8,4,8,0.5,6,8,0.75,0.792,2,7,9,6,2,0,3,2,37.4,18.3,F-G
49,LeBron James,42,2/26/15,30-058,CLE,NA,GSW,W 110-99,1,36,15,25,0.6,11,16,0.688,4,9,0.444,8,11,0.727,0.704,1,10,11,5,3,1,6,5,32.2,18.4,F-G
50,LeBron James,42,12/5/18,33-340,LAL,NA,SAS,W 121-113,1,40,15,24,0.625,12,17,0.706,3,7,0.429,9,13,0.692,0.707,0,5,5,6,2,0,2,1,34.9,15.2,F-G
51,LeBron James,41,3/27/04,19-088,CLE,NA,NJN,W 107-104,1,44,15,29,0.517,14,27,0.519,1,2,0.5,10,10,1,0.614,2,4,6,13,3,0,2,1,39,17.1,F-G
52,LeBron James,41,12/17/05,20-352,CLE,NA,MIA,W 115-107,1,46,12,19,0.632,10,15,0.667,2,4,0.5,15,16,0.938,0.787,0,5,5,10,1,0,4,3,36.4,12,F-G
53,LeBron James,41,3/7/07,22-067,CLE,@,DET,W 101-97 (OT),1,51,17,31,0.548,16,28,0.571,1,3,0.333,6,8,0.75,0.594,2,5,7,8,3,1,4,4,31.9,18.5,F-G
54,LeBron James,41,1/27/08,23-028,CLE,@,LAL,W 98-95,1,44,16,32,0.5,15,27,0.556,1,5,0.2,8,12,0.667,0.55,3,6,9,4,2,0,5,4,25.5,8.6,F-G
55,LeBron James,41,11/5/08,23-311,CLE,NA,CHI,W 107-93,1,36,13,23,0.565,13,21,0.619,0,2,0,15,16,0.938,0.682,2,7,9,6,4,0,5,1,36,22.7,F-G
56,LeBron James,41,11/8/08,23-314,CLE,@,CHI,W 106-97,1,39,13,29,0.448,9,22,0.409,4,7,0.571,11,13,0.846,0.59,4,9,13,4,0,0,2,1,31,15.5,F-G
57,LeBron James,41,11/11/08,23-317,CLE,NA,MIL,W 99-93,1,43,16,24,0.667,15,20,0.75,1,4,0.25,8,10,0.8,0.722,0,5,5,6,3,0,2,2,35.7,19.2,F-G
58,LeBron James,41,1/10/10,25-011,CLE,@,POR,W 106-94,1,45,13,19,0.684,10,15,0.667,3,4,0.75,12,14,0.857,0.815,0,10,10,8,0,1,3,1,38,18.7,F-G
59,LeBron James,41,2/8/11,26-040,MIA,NA,IND,W 117-112,1,42,15,23,0.652,13,18,0.722,2,5,0.4,9,13,0.692,0.714,3,10,13,8,3,1,4,1,39.3,17.8,F-G
60,LeBron James,41,4/3/12,27-095,MIA,NA,PHI,W 99-93,1,38,15,25,0.6,14,23,0.609,1,2,0.5,10,13,0.769,0.667,3,3,6,4,3,1,4,0,33.8,19.2,F-G
61,LeBron James,41,11/14/14,29-319,CLE,@,BOS,W 122-121,1,41,16,27,0.593,13,19,0.684,3,8,0.375,6,9,0.667,0.662,0,4,4,7,0,1,3,4,29.5,7.5,F-G
62,LeBron James,41,12/12/14,29-347,CLE,@,NOP,L 114-119,1,38,17,24,0.708,15,22,0.682,2,2,1,5,8,0.625,0.745,0,5,5,5,0,1,2,1,33.1,14.6,F-G
63,LeBron James,41,4/2/17,32-093,CLE,NA,IND,W 135-130 (2OT),1,52,16,29,0.552,13,19,0.684,3,10,0.3,6,12,0.5,0.598,4,10,14,11,2,1,1,4,38.3,12,F-G
64,LeBron James,41,3/28/18,33-088,CLE,@,CHO,W 118-105,1,37,14,26,0.538,10,18,0.556,4,8,0.5,9,11,0.818,0.665,2,8,10,8,1,0,4,1,33.6,16.8,F-G
65,LeBron James,41,1/28/23,38-029,LAL,@,BOS,L 121-125 (OT),1,44,15,30,0.5,9,18,0.5,6,12,0.5,5,6,0.833,0.628,1,8,9,8,0,0,2,2,31.5,14.9,F-G
66,LeBron James,40,12/28/04,19-364,CLE,@,ATL,W 111-102,1,46,13,25,0.52,10,20,0.5,3,5,0.6,11,14,0.786,0.642,1,8,9,7,1,0,1,2,33.7,11.3,F-G
67,LeBron James,40,4/9/05,20-100,CLE,NA,MIL,W 98-81,1,47,15,26,0.577,8,13,0.615,7,13,0.538,3,3,1,0.732,1,9,10,10,2,1,3,2,37.1,23.7,F-G
68,LeBron James,40,11/16/07,22-321,CLE,NA,UTA,W 99-94,1,40,13,27,0.481,12,24,0.5,1,3,0.333,13,15,0.867,0.595,2,8,10,9,0,3,5,3,31.5,15.4,F-G
69,LeBron James,40,11/20/09,24-325,CLE,@,IND,W 105-95,1,38,13,25,0.52,12,22,0.545,1,3,0.333,13,14,0.929,0.642,2,7,9,7,1,1,2,1,35,20,F-G
70,LeBron James,40,3/5/10,25-065,CLE,NA,DET,W 99-92,1,42,16,27,0.593,13,20,0.65,3,7,0.429,5,6,0.833,0.675,2,11,13,6,3,2,4,1,36,20.3,F-G
71,LeBron James,40,2/1/12,27-033,MIA,@,MIL,L 97-105,1,40,14,24,0.583,10,17,0.588,4,7,0.571,8,10,0.8,0.704,0,8,8,5,2,0,7,1,28.5,10.7,F-G
72,LeBron James,40,2/26/13,28-058,MIA,NA,SAC,W 141-129 (2OT),1,48,14,23,0.609,13,21,0.619,1,2,0.5,11,12,0.917,0.707,3,5,8,16,2,1,2,1,44.2,18.4,F-G
73,LeBron James,40,3/19/18,33-079,CLE,NA,MIL,W 124-117,1,40,16,29,0.552,13,22,0.591,3,7,0.429,5,8,0.625,0.615,5,7,12,10,2,1,6,2,33.4,11.4,F-G
74,LeBron James,40,2/25/20,35-057,LAL,NA,NOP,W 118-109,1,34,17,27,0.63,12,16,0.75,5,11,0.455,1,2,0.5,0.717,2,6,8,6,0,1,7,1,28.2,13.1,F-G
75,LeBron James,39,12/13/05,20-348,CLE,NA,ATL,L 94-100,1,45,13,23,0.565,10,17,0.588,3,6,0.5,10,16,0.625,0.649,0,10,10,6,2,0,6,5,26.9,9.6,F-G
76,LeBron James,39,1/24/07,22-025,CLE,NA,PHI,L 115-118 (2OT),1,53,14,26,0.538,11,18,0.611,3,8,0.375,8,13,0.615,0.615,2,8,10,5,1,0,4,2,27.9,10.7,F-G
77,LeBron James,39,3/1/07,22-061,CLE,@,DAL,L 92-95,1,40,17,27,0.63,16,23,0.696,1,4,0.25,4,8,0.5,0.639,0,3,3,5,0,0,2,2,26.9,13.3,F-G
78,LeBron James,39,3/31/07,22-091,CLE,@,CHI,W 112-108 (OT),1,47,14,25,0.56,14,22,0.636,0,3,0,11,13,0.846,0.635,1,4,5,9,3,0,7,4,28.9,8,F-G
79,LeBron James,39,11/14/07,22-319,CLE,NA,ORL,L 116-117 (OT),1,47,15,27,0.556,13,23,0.565,2,4,0.5,7,9,0.778,0.63,4,9,13,14,0,2,4,1,37.6,17.6,F-G
